,mom1.csv,mom12.csv,mom3.csv,mom6.csv,mom9.csv,average
1982M01,,,,,,
1982M02,,,,,,
1982M03,,,,,,
1982M04,,,,,,
1982M05,,,,,,
1982M06,,,,,,
1982M07,,,,,,
1982M08,,,,,,
1982M09,,,,,,
1982M10,,,,,,
1982M11,,,,,,
1982M12,,,,,,
1983M01,,,,,,
1983M02,,,,,,
1983M03,,,,,,
1983M04,,,,,,
1983M05,,,,,,
1983M06,,,,,,
1983M07,,,,,,
1983M08,,,,,,
1983M09,,,,,,
1983M10,,,,,,
1983M11,,,,,,
1983M12,,,,,,
1984M01,,,,,,
1984M02,,,,,,
1984M03,,,,,,
1984M04,,,,,,
1984M05,,,,,,
1984M06,,,,,,
1984M07,,,,,,
1984M08,,,,,,
1984M09,,,,,,
1984M10,,,,,,
1984M11,,,,,,
1984M12,,,,,,
1985M01,,,,,,
1985M02,,,,,,
1985M03,,,,,,
1985M04,,,,,,
1985M05,,,,,,
1985M06,,,,,,
1985M07,,,,,,
1985M08,,,,,,
1985M09,,,,,,
1985M10,,,,,,
1985M11,,,,,,
1985M12,,,,,,
1986M01,,,,,,
1986M02,,,,,,
1986M03,,,,,,
1986M04,,,,,,
1986M05,,,,,,
1986M06,,,,,,
1986M07,,,,,,
1986M08,,,,,,
1986M09,,,,,,
1986M10,,,,,,
1986M11,,,,,,
1986M12,,,,,,
1987M01,,,,,,
1987M02,,,,,,
1987M03,,,,,,
1987M04,,,,,,
1987M05,,,,,,
1987M06,,,,,,
1987M07,,,,,,
1987M08,,,,,,
1987M09,,,,,,
1987M10,,,,,,
1987M11,,,,,,
1987M12,,,,,,
1988M01,,,,,,
1988M02,,,,,,
1988M03,,,,,,
1988M04,,,,,,
1988M05,,,,,,
1988M06,,,,,,
1988M07,,,,,,
1988M08,,,,,,
1988M09,,,,,,
1988M10,,,,,,
1988M11,,,,,,
1988M12,,,,,,
1989M01,,,,,,
1989M02,,,,,,
1989M03,,,,,,
1989M04,,,,,,
1989M05,,,,,,
1989M06,,,,,,
1989M07,,,,,,
1989M08,,,,,,
1989M09,,,,,,
1989M10,,,,,,
1989M11,,,,,,
1989M12,,,,,,
1990M01,,,,,,
1990M02,,,,,,
1990M03,,,,,,
1990M04,,,,,,
1990M05,,,,,,
1990M06,,,,,,
1990M07,,,,,,
1990M08,,,,,,
1990M09,,,,,,
1990M10,,,,,,
1990M11,,,,,,
1990M12,,,,,,
1991M01,-0.01707866041612841,-0.006904100015847848,-0.011434141192816601,-0.007175326052194729,-0.008971054852571558,-0.01031265650591183
1991M02,-0.017050227108587838,-0.007108440377228996,-0.011505233368273441,-0.007323738001152969,-0.009098806623969296,-0.010417289095842507
1991M03,0.010447684369066245,-0.002152796559933052,-0.011077139487062886,-0.0069614932688180356,-0.008667594732317232,-0.0036822679358129917
1991M04,-0.016517342216473344,-0.0025353634886256036,-0.011282509625214751,-0.007241363688976747,-0.008941677428651307,-0.00930365128958835
1991M05,-0.016732661480652226,-0.003008050918093855,-0.011577898790441972,-0.007610253449144051,-0.009313236356617908,-0.009648420198990001
1991M06,-0.01702135243794346,-0.003547654024106883,-0.011941628776841877,-0.008046173024338927,-0.009757821658512786,-0.010062925984348787
1991M07,-0.017398492670644035,-0.004170104237483954,-0.012388534222376318,-0.008564264719021513,-0.01029160638603894,-0.010562600447112951
1991M08,0.009800729330468355,-0.003895356849632911,-0.01200077984351753,-0.008231938003461043,-0.009899823964429,-0.0048454338661144255
1991M09,0.010829633184369154,-0.0027582236756855073,0.006401596010233603,-0.007080119406783705,-0.008619954006642094,-0.00024541357890171014
1991M10,-0.016915894567096967,-0.0031552965336671054,0.005720345724054082,-0.0073910498537490075,-0.00893113559996278,-0.006134606166084355
1991M11,0.01012946093998152,-0.003007987252447137,0.005725496387612416,-0.007185374026737934,-0.00868265202493056,-0.0006042111953043393
1991M12,-0.016546640156305546,-0.0029626258328489434,-0.010808070258662393,0.0022965375962481606,-0.008542776054321216,-0.007312714941177988
1992M01,-0.016993223330413202,-0.003614481368665175,-0.011329198102761246,0.001297007431964408,-0.009125656765140034,-0.00795311042700305
1992M02,-0.017912211820616114,-0.004725158373814932,-0.012306157020952727,-0.007078780750844341,-0.010184114383207647,-0.01044128446988715
1992M03,-0.01771475890054841,-0.0047305010047603985,-0.012198270677598448,-0.007048914948834962,-0.010104327783723397,-0.010359354663093122
1992M04,-0.017872025196731034,-0.005079214936758037,-0.012432036321289681,-0.007358406412066829,-0.010381097117029212,-0.010624555996774959
1992M05,-0.017893989815465028,-0.005288986109039663,-0.012532204702892851,-0.007532105661919612,-0.010516893443315271,-0.010752835946526486
