,mva1_12.csv,mva1_3.csv,mva1_6.csv,mva1_9.csv,mva3_12.csv,mva3_6.csv,mva3_9.csv,mva6_12.csv,mva6_9.csv,mva9_12.csv,average
1991M01,-0.006385354665842881,-0.016356233160614696,-0.010415593563315588,-0.008779459471528219,-0.005648213194305144,-0.005830010964478909,-0.007614658543589606,-0.0051124134071585964,-0.0015229216857698155,-0.007373254815678142,-0.00750381134722816
1991M02,-0.006553892453398686,-0.016341490144228955,-0.010504554995430338,-0.008903661984904668,-0.005837409001988827,-0.0059994212141171125,-0.007760431444520476,-0.005315824814740907,-0.0017722694269856464,-0.001582099188692043,-0.007057105466900765
1991M03,-0.00619247237711983,0.013383178804546432,-0.010093714189613634,-0.008499518826234795,-0.005475868987952458,-0.005666255128667878,-0.0073770742956757685,-0.0049573625732663015,-0.0015074188801624156,-0.0013008480390575004,-0.003768735449320415
1991M04,-0.006496070685350252,-0.01584706177945949,-0.010315752553146002,-0.008761919876445302,-0.00580398211110192,-0.005963335171199325,-0.007659518998217688,-0.005301449649959832,-0.0018813250656427795,-0.001706276364964278,-0.006973669225548687
1991M05,-0.006890979261727396,-0.016062779775515044,-0.010627254336241034,-0.009117076712627807,-0.0062258344279700305,-0.006347377243993467,-0.008034016200684887,-0.005740420203457756,-0.0023410629380699803,-0.0022026324226712525,-0.007358943352295866
1991M06,-0.007354331825505142,-0.016348306359149252,-0.011006568657955703,-0.009542048285872774,-0.006717612883914072,-0.006796853485253184,-0.00847766123103232,-0.00624996579904646,-0.0028648023551160855,-0.0027662537715670587,-0.007812440465441206
1991M07,-0.007901712072530088,-0.016718170804241764,-0.011468555718310881,-0.010052348592891492,-0.00729536996314324,-0.007326739177426142,-0.00900600199660765,-0.006846390809777359,-0.0034678345525728247,-0.0034133329404865296,-0.008349645662798798
1991M08,-0.007569350343892461,-0.01626882451596099,-0.011095404172849967,-0.009684142922247846,-0.006962001659542028,-0.00701933075166181,-0.00865523543590207,-0.0065150507666983295,-0.0032177083235679807,-0.003146896309689736,-0.008013394520201323
1991M09,-0.00639062929584158,0.012604941433427927,0.006539356357830628,0.0028012377200274143,-0.0057536180112919685,-0.005904456308866911,-0.00745871299290021,-0.00529353896749299,-0.0021454806741905284,-0.002003175463979547,-0.0013004076203277767
1991M10,-0.006722710565466119,0.011780262069969785,0.0058106819149959885,-0.008470753143404246,-0.006107385511313151,0.0008328535681672057,-0.007773567106120574,-0.005661100476731462,-0.0025335148513525945,-0.0024194503397892736,-0.002126468444104444
1991M11,-0.006521113907252833,-0.015028802083604496,0.005814239297697586,-0.00823771069105949,-0.005909266422570791,0.0009447019449890211,0.001429361071566381,-0.005467117487086423,-0.0024025703320706988,-0.0022817892046784493,-0.0037660067814070186
1991M12,-0.006421568655854517,0.0116618460869494,0.005689979774458866,0.002153826725840675,-0.005816378541848049,0.0009214057798241325,0.0013950224000592775,-0.005379955197425349,-0.0023684437788235786,-0.002247409021018488,-4.116744278376294e-05
