,osc12_10_buy.csv,osc12_10_sell.csv,osc12_5_buy.csv,osc12_5_sell.csv,osc1_10_buy.csv,osc1_10_sell.csv,osc1_5_buy.csv,osc1_5_sell.csv,osc3_10_buy.csv,osc3_10_sell.csv,osc3_5_buy.csv,osc3_5_sell.csv,osc6_10_buy.csv,osc6_10_sell.csv,osc6_5_buy.csv,osc6_5_sell.csv,osc9_10_buy.csv,osc9_10_sell.csv,osc9_5_buy.csv,osc9_5_sell.csv,average
1991M01,-0.0060212237880159294,-0.006021223788015925,-0.005558876445291953,-0.005558876445291957,0.013567140718026541,0.01356714071802656,0.013567140718026541,0.01356714071802656,-0.005088096859590401,-0.0050880968595904096,-0.005757244990086251,-0.005757244990086245,-0.0037083980280339223,-0.00370839802803391,-0.005287560094094491,-0.005287560094094491,-0.002508841552006709,-0.0025088415520067124,-0.0015198216861427565,-0.0015198216861427552,-0.0008315782007209309
1991M02,-0.0059702291287019975,-0.005970229128702005,-0.005512756667213296,-0.00551275666721329,-0.006752528866523767,-0.006752528866523767,-0.006752528866523767,-0.006752528866523767,-0.005052213793181902,-0.005052213793181905,-0.0057083057904017305,-0.005708305790401729,-0.003698332437848992,-0.003698332437848984,-0.005249436727656381,-0.005249436727656383,-0.002518770841434847,-0.0025187708414348424,-0.0015504891192385274,-0.0015504891192385298,-0.0048765592238725185
1991M03,-0.005981496930176033,-0.005981496930176024,-0.00553333083289813,-0.005533330832898141,-0.006750187643754155,-0.006750187643754144,-0.006750187643754155,-0.006750187643754144,-0.00508027714712856,-0.005080277147128571,-0.0057249504417434295,-0.0057249504417434295,-0.0037470895907880733,-0.0037470895907880794,-0.005273131984320849,-0.005273131984320854,-0.0025849803700277486,-0.002584980370027748,-0.0016462112417848732,-0.0016462112417848728,-0.0049071843826376015
1991M04,-0.006182308272867171,-0.006182308272867168,-0.005756895111371863,-0.0057568951113718654,-0.006948030117061282,-0.006948030117061275,-0.006948030117061282,-0.006948030117061275,-0.005303945375230764,-0.0053039453752307545,-0.00594110072222933,-0.005941100722229319,-0.003977946583544886,-0.003977946583544888,-0.005485949512534956,-0.005485949512534955,-0.0028269547474710117,-0.0028269547474710126,-0.0019458992956213183,-0.001945899295621329,-0.0051317059854993855
1991M05,-0.007156152341962048,-0.007156152341962046,-0.006807896134714518,-0.0068078961347145155,-0.007959695420596352,-0.007959695420596345,-0.007959695420596352,-0.007959695420596345,-0.006326514462184718,-0.0063265144621847125,-0.006970431453743892,-0.006970431453743903,-0.00495593054862579,-0.004955930548625775,-0.006471399560968715,-0.006471399560968716,-0.003792360961081785,-0.00379236096108178,-0.003085300261492934,-0.0030853002614929428,-0.006148537656596709
1991M06,-0.007393225725140753,-0.007393225725140763,-0.00706771600455924,-0.0070677160045592435,-0.008195177029135442,-0.00819517702913544,-0.008195177029135442,-0.00819517702913544,-0.006585685890213178,-0.006585685890213171,-0.007222969337573552,-0.007222969337573547,-0.005220401948105751,-0.0052204019481057505,-0.0067196983995735544,-0.006719698399573546,-0.004066595849616883,-0.004066595849616887,-0.0034162346981781305,-0.0034162346981781344,-0.006408288191123192
1991M07,-0.007083509863675348,-0.007083509863675352,-0.006742252665071762,-0.006742252665071752,0.013252392247740715,0.013252392247740715,0.013252392247740715,0.013252392247740715,-0.006279105163947692,-0.0062791051639477045,-0.006900390913450023,-0.0069003909134500154,-0.004954315078827305,-0.0049543150788273,-0.0064208458820688916,-0.006420845882068891,-0.0038260541293845783,-0.0038260541293845883,-0.0031491225510922906,-0.0031491225510922936,-0.0018850811752036466
1991M08,-0.007265567400571608,-0.00726556740057162,-0.0069424371061407066,-0.006942437106140703,-0.00785612050854476,-0.007856120508544754,-0.00785612050854476,-0.007856120508544754,-0.006480318762704948,-0.006480318762704954,-0.007094603309694841,-0.00709460330969485,-0.005163527688201351,-0.005163527688201343,-0.006613421894863674,-0.006613421894863675,-0.00404586130190332,-0.004045861301903318,-0.003414708967248289,-0.003414708967248286,-0.006273268744841827
1991M09,-0.007280013925965702,-0.0072800139259657,-0.006963232238134911,-0.006963232238134914,-0.007861687583832235,-0.007861687583832232,-0.007861687583832235,-0.007861687583832232,-0.006507896605657988,-0.006507896605657992,-0.007112563009958762,-0.007112563009958753,-0.005209385526649709,-0.005209385526649702,-0.006638058193784449,-0.006638058193784442,-0.004106806650784063,-0.00410680665078405,-0.0034956485614609165,-0.003495648561460911,-0.006303697988006096
1991M10,-0.0074715386983334325,-0.0074715386983334395,-0.007172509154392841,-0.007172509154392848,-0.008056235723931186,-0.008056235723931196,-0.008056235723931186,-0.008056235723931196,-0.00671775736001054,-0.006717757360010538,-0.007316055931247626,-0.007316055931247625,-0.005426098043115651,-0.005426098043115658,-0.0068394592081857455,-0.006839459208185747,-0.004333217049031666,-0.0043332170490316575,-0.0037662064876010457,-0.003766206487601039,-0.006515531337978092
