,mom1.csv,mom12.csv,mom3.csv,mom6.csv,mom9.csv,average
1982M01,,,,,,
1982M02,,,,,,
1982M03,,,,,,
1982M04,,,,,,
1982M05,,,,,,
1982M06,,,,,,
1982M07,,,,,,
1982M08,,,,,,
1982M09,,,,,,
1982M10,,,,,,
1982M11,,,,,,
1982M12,,,,,,
1983M01,,,,,,
1983M02,,,,,,
1983M03,,,,,,
1983M04,,,,,,
1983M05,,,,,,
1983M06,,,,,,
1983M07,,,,,,
1983M08,,,,,,
1983M09,,,,,,
1983M10,,,,,,
1983M11,,,,,,
1983M12,,,,,,
1984M01,,,,,,
1984M02,,,,,,
1984M03,,,,,,
1984M04,,,,,,
1984M05,,,,,,
1984M06,,,,,,
1984M07,,,,,,
1984M08,,,,,,
1984M09,,,,,,
1984M10,,,,,,
1984M11,,,,,,
1984M12,,,,,,
1985M01,,,,,,
1985M02,,,,,,
1985M03,,,,,,
1985M04,,,,,,
1985M05,,,,,,
1985M06,,,,,,
1985M07,,,,,,
1985M08,,,,,,
1985M09,,,,,,
1985M10,,,,,,
1985M11,,,,,,
1985M12,,,,,,
1986M01,,,,,,
1986M02,,,,,,
1986M03,,,,,,
1986M04,,,,,,
1986M05,,,,,,
1986M06,,,,,,
1986M07,,,,,,
1986M08,,,,,,
1986M09,,,,,,
1986M10,,,,,,
1986M11,,,,,,
1986M12,,,,,,
1987M01,,,,,,
1987M02,,,,,,
1987M03,,,,,,
1987M04,,,,,,
1987M05,,,,,,
1987M06,,,,,,
1987M07,,,,,,
1987M08,,,,,,
1987M09,,,,,,
1987M10,,,,,,
1987M11,,,,,,
1987M12,,,,,,
1988M01,,,,,,
1988M02,,,,,,
1988M03,,,,,,
1988M04,,,,,,
1988M05,,,,,,
1988M06,,,,,,
1988M07,,,,,,
1988M08,,,,,,
1988M09,,,,,,
1988M10,,,,,,
1988M11,,,,,,
1988M12,,,,,,
1989M01,,,,,,
1989M02,,,,,,
1989M03,,,,,,
1989M04,,,,,,
1989M05,,,,,,
1989M06,,,,,,
1989M07,,,,,,
1989M08,,,,,,
1989M09,,,,,,
1989M10,,,,,,
1989M11,,,,,,
1989M12,,,,,,
1990M01,,,,,,
1990M02,,,,,,
1990M03,,,,,,
1990M04,,,,,,
1990M05,,,,,,
1990M06,,,,,,
1990M07,,,,,,
1990M08,,,,,,
1990M09,,,,,,
1990M10,,,,,,
1990M11,,,,,,
1990M12,,,,,,
1991M01,0.011012484992358339,-0.0024889512523501352,-0.006024953230040903,-0.004172537676307449,-0.0025630532977716607,-0.0008474020928223618
1991M02,0.010908879946091118,-0.0023357732709389538,0.007471035530121316,-0.0039619465221080305,-0.002399613085790193,0.0019365165194750512
1991M03,0.010790885898638209,-0.002204613434432094,0.007424585379995353,-0.003778862356892657,-0.0022598245827857464,0.001994434180904613
1991M04,-0.008043127658615014,-0.002382090619823257,-0.005799277928997392,-0.00394970136978937,-0.002446139183136538,-0.004524067352072314
1991M05,-0.008448362206657607,-0.0028919160572940163,-0.006283586967222029,-0.0044987653820116845,-0.0029826087615000057,-0.005021047874937069
1991M06,-0.008320134303640286,-0.0028556918533673113,-0.006183061531920139,-0.0044267638943887334,-0.0029428244626449763,-0.00494569520919229
1991M07,-0.008253311452138675,-0.0028788293285118925,-0.006148434368172319,-0.004423314393778419,-0.002965651057371247,-0.004933908119994511
1991M08,0.010337715331964358,-0.0027157786566096285,0.007058929854407871,-0.004210525948383899,-0.002792669803666119,0.0015355341555425167
1991M09,0.010215965655569353,-0.002607351062802635,0.007003435350862715,-0.004061121255514657,-0.0026774257025967943,0.0015747005971035964
1991M10,-0.008006205434240857,-0.002626496509694052,0.006810275537151568,-0.004056699701254789,-0.002696360511169544,-0.002115097323841535
1991M11,-0.007969697591562998,-0.0026746170540040783,-0.0059165800519320015,-0.004085638502031647,-0.0027457023281263686,-0.004678447105531419
1991M12,-0.007979930182097895,-0.0027661549975701114,-0.005963269764584831,-0.004163896172441383,-0.002840522990346847,-0.004742754821408213
1992M01,0.009951258488163094,-0.002559008638311053,-0.005677358332752422,0.006509551495994207,-0.0026223320744123355,0.0011204221877362981
1992M02,0.009889607269815703,-0.0024219772750914345,0.006590688047981611,0.006511597699656198,0.006318091483481376,0.005377601445168691
1992M03,0.009723216458567987,-0.0023755053644108,0.00648978157562317,0.006408499752362187,0.006201841924475337,0.005289566869323576
1992M04,-0.007689385029857498,-0.0024330886592288156,0.006272179299648982,-0.003908482598102929,0.005945707340162502,-0.0003626139294755517
1992M05,0.00943621700918546,0.0060216908283010654,-0.005472367482249815,0.00618468830570927,0.005872686540932611,0.004408583040375719
