,mom1.csv,mom12.csv,mom3.csv,mom6.csv,mom9.csv,average
1982M01,,,,,,
1982M02,,,,,,
1982M03,,,,,,
1982M04,,,,,,
1982M05,,,,,,
1982M06,,,,,,
1982M07,,,,,,
1982M08,,,,,,
1982M09,,,,,,
1982M10,,,,,,
1982M11,,,,,,
1982M12,,,,,,
1983M01,,,,,,
1983M02,,,,,,
1983M03,,,,,,
1983M04,,,,,,
1983M05,,,,,,
1983M06,,,,,,
1983M07,,,,,,
1983M08,,,,,,
1983M09,,,,,,
1983M10,,,,,,
1983M11,,,,,,
1983M12,,,,,,
1984M01,,,,,,
1984M02,,,,,,
1984M03,,,,,,
1984M04,,,,,,
1984M05,,,,,,
1984M06,,,,,,
1984M07,,,,,,
1984M08,,,,,,
1984M09,,,,,,
1984M10,,,,,,
1984M11,,,,,,
1984M12,,,,,,
1985M01,,,,,,
1985M02,,,,,,
1985M03,,,,,,
1985M04,,,,,,
1985M05,,,,,,
1985M06,,,,,,
1985M07,,,,,,
1985M08,,,,,,
1985M09,,,,,,
1985M10,,,,,,
1985M11,,,,,,
1985M12,,,,,,
1986M01,,,,,,
1986M02,,,,,,
1986M03,,,,,,
1986M04,,,,,,
1986M05,,,,,,
1986M06,,,,,,
1986M07,,,,,,
1986M08,,,,,,
1986M09,,,,,,
1986M10,,,,,,
1986M11,,,,,,
1986M12,,,,,,
1987M01,,,,,,
1987M02,,,,,,
1987M03,,,,,,
1987M04,,,,,,
1987M05,,,,,,
1987M06,,,,,,
1987M07,,,,,,
1987M08,,,,,,
1987M09,,,,,,
1987M10,,,,,,
1987M11,,,,,,
1987M12,,,,,,
1988M01,,,,,,
1988M02,,,,,,
1988M03,,,,,,
1988M04,,,,,,
1988M05,,,,,,
1988M06,,,,,,
1988M07,,,,,,
1988M08,,,,,,
1988M09,,,,,,
1988M10,,,,,,
1988M11,,,,,,
1988M12,,,,,,
1989M01,,,,,,
1989M02,,,,,,
1989M03,,,,,,
1989M04,,,,,,
1989M05,,,,,,
1989M06,,,,,,
1989M07,,,,,,
1989M08,,,,,,
1989M09,,,,,,
1989M10,,,,,,
1989M11,,,,,,
1989M12,,,,,,
1990M01,,,,,,
1990M02,,,,,,
1990M03,,,,,,
1990M04,,,,,,
1990M05,,,,,,
1990M06,,,,,,
1990M07,,,,,,
1990M08,,,,,,
1990M09,,,,,,
1990M10,,,,,,
1990M11,,,,,,
1990M12,,,,,,
1991M01,0.003507444351869434,-0.005384276921911176,-0.001594225200158414,-0.0004312815268321035,-0.0077429654617119075,-0.0023290609517488334
1991M02,-0.0026565751764741808,-0.006267399408926675,-0.002511077799635949,-0.0005008707437419566,-0.00861550859933867,-0.004110286345623487
1991M03,0.0023051878414558353,-0.00604498815532263,-0.0023575377610564685,-0.00037404772137205564,-0.00834409854402199,-0.002963096868063462
1991M04,-0.0024925848362985542,-0.006120710188566358,-0.002490292154425669,-0.0005471708133817953,-0.00838279184757241,-0.004006709968048958
1991M05,-0.0024746651366414196,-0.006043900555254242,-0.00247354660525268,-0.0005619733424342254,-0.00826503813077504,-0.003963824754071521
1991M06,0.0020523741553499044,-0.0036374755673488006,0.0027889307901432696,-1.1300438416233984e-05,-0.007576802931884407,-0.0012768547984312536
1991M07,0.0020277993207830397,-0.005413691291416872,0.002745138441615653,1.3734841045641684e-06,-0.007439896609101499,-0.0016158553308030228
1991M08,-0.001882936154319681,-0.00598842372459628,-0.0019188181613789955,-0.0006593123582101084,-0.007991218189305014,-0.0036881417175620157
1991M09,-0.0020958809111694945,-0.006127238452683193,-0.002118106594621758,-0.0008813944513968013,-0.008100445937445543,-0.003864613269463358
1991M10,0.0012042213226226154,-0.005616216324695263,-0.0016755716482406429,-0.0016795948522094024,-0.007550607721758384,-0.0030635538448562155
1991M11,0.0012216886861659906,-0.005498584881079198,0.0018011602921829913,-0.0015963980303360414,0.0047153373963544016,0.00012864069265762883
1991M12,-0.0016251538018517316,-0.005441941857322645,0.0017281464884002242,-0.00045107761573636443,-0.007401406695978031,-0.0026382866964977094
1992M01,-0.0017916455963514725,-0.005540062371999305,-0.0016185114899987666,-0.0006277906345181594,-0.007472811698392546,-0.00341016435825205
1992M02,0.0011685033957013354,-0.005437369782069723,-0.0015719785808349363,-0.0015986768443584701,-0.007338206653145768,-0.0029555456929415127
1992M03,-0.001739499159953144,-0.005707368357708903,-0.0019019103416462043,-0.0005953500827620471,-0.007588192879964395,-0.003506464164406939
1992M04,-0.0019700968388210787,-0.005862593427126658,-0.002113716597999392,-0.0008326000563445066,-0.0077206589003470626,-0.003699933164127739
