,flt12_buy.csv,flt12_sell.csv,flt1_buy.csv,flt3_buy.csv,flt3_sell.csv,flt6_buy.csv,flt6_sell.csv,flt9_buy.csv,flt9_sell.csv,average
1991M01,0.0017945794524591432,0.0002594127979443448,-0.05122807910958638,-0.02360737339734604,-0.052895900650154384,-0.0006440746187593408,-0.009889475138872249,-7.736806846095172e-05,-0.0035148795893138927,-0.015533684258009973
1991M02,-0.0037390560524532845,-0.0029914365962495854,-0.06654976958931262,-0.0314856843271308,-0.08267728217892142,-0.005586464169939342,-0.02319993810494471,-0.005281216845118956,-0.009970348673878068,-0.025720132948660976
1991M03,-0.0037409274980922656,-0.0029526256639626257,-0.0030818190151751267,-0.009951949622142514,-0.05052660358963691,-0.005090326664837829,-0.021645671978629252,-0.005249608800347661,-0.009556307804464053,-0.012421760070809805
1991M04,-0.003807250633640769,-0.003071243885189907,-0.0043646689587715365,-0.010339267648198432,-0.025912379255409554,-0.00510792859692702,-0.020699126718295463,-0.005338499439590549,-0.009415064736886688,-0.009783936652545547
1991M05,-0.0037840751264770836,-0.002972078732955243,-0.002582692126238968,-0.00964614774993461,0.0015752131737069742,-0.005046585374076263,-0.01719628230705273,-0.0053672259635984855,-0.008972684042321571,-0.005999173138771998
1991M06,-0.004665023001839169,-0.005239890436025092,-0.02156313615994122,-0.016443610371273367,-0.00696415797745985,-0.0057964950484157805,-0.015847544133657597,-0.006151752295762255,-0.011963860462254793,-0.01051505220962546
1991M07,-0.004391769217304437,-0.0027797608553163733,0.013934762854193717,-0.0038361106805765875,0.0016347342938874236,-0.0048848354096424785,-0.007572287303557489,-0.005231331979806913,-0.008199066893093642,-0.0023695183545796423
1991M08,-0.004205198207522947,-0.0020350645346879554,0.004120676716636325,-0.0015296405850721388,0.004735647095458532,-0.0046527971968822815,-0.0011865402692882731,-0.004997365309783072,-0.006573578067680894,-0.0018137622620914115
1991M09,-0.0034312729341943364,-0.0007265721321954074,0.013994521391266638,0.004260018941115357,0.010612276787391,-0.004167406143502727,0.0008609688454822945,-0.0045571275943733615,-0.004705160455775355,0.0013489163005793448
1991M10,-0.002441786030001287,0.0003239873328834712,0.021801251710171908,0.007315058317778735,0.014673006492418181,-0.0034082693186533648,0.0026268540180603966,-0.003974785629594637,-0.003966674113682878,0.0036609603088200594
1991M11,-0.0029064460932645402,-0.000719312412904018,-0.013346445960615932,0.0006497478673150991,-0.0016831914318389141,-0.0037985212164296,-0.0014273271275158112,-0.0042363938638447386,-0.004326573587518151,-0.0035327182029574002
1991M12,-0.0043300625947681765,-0.0028096986921132107,-0.040225122666564084,-0.018157504669391315,-0.019382365358322128,-0.004659373626564308,-0.005998991134101636,-0.0048980918701639654,-0.0051313184566862255,-0.011732503229852783
1992M01,-0.005103884381180614,-0.004004790679111007,-0.019591550839907435,-0.015421430061485802,-0.02738186805284622,-0.004959845241948501,-0.00797578938824358,-0.0052589078306448855,-0.005321080790246589,-0.010557683029512738
1992M02,-0.0051080746557283785,-0.004318939294936387,-0.0052310903545300024,-0.010542529642064908,-0.022978224487115218,-0.005048757786480544,-0.008227011692539005,-0.0053043358901998655,-0.0053115879608086084,-0.008007839084933657
1992M03,-0.005319484692032328,-0.004344488429902108,-0.008382929011449282,-0.011627067308670067,-0.008716291969888762,-0.005167197347743611,-0.00886317823553218,-0.005432536636633112,-0.005351060961693873,-0.007022692732616145
1992M04,-0.00402616525263342,-0.004066182269745684,0.021193574622359268,-0.001271286858306713,0.00964905759833922,-0.004610699079969146,-0.00592232787986964,-0.004838366785289222,-0.004985261841841521,0.00012470469478257124
1992M05,-0.003443208608135856,-0.003848286934599668,0.014179733413324366,0.004433178973480676,0.010634963866469423,-0.004337294435639089,-0.0030945907666120693,-0.004601913017643002,-0.004776945323775751,0.0005717374629854477
1992M06,-0.0028931728257691634,-0.0035270867467443053,0.015449866265888797,0.010603811852058997,0.011535888168171176,-0.003997684686666838,0.0009056638012991232,-0.004368550657934271,-0.0045139187707240284,0.002132757377731054
1992M07,-0.00313453790240038,-0.0036629339004641817,-0.010489819766647932,-0.0005399902966801828,-0.00030562205761536666,-0.004142032879954459,-0.0016125346467243766,-0.004440559618841978,-0.00460319194146219,-0.0036590247789767827
1992M08,-0.003198116711496823,-0.003673862298449622,-0.0048969903935396665,-0.006882126649418226,-0.0017419761028575546,-0.004156159664972834,-0.0019395876095876802,-0.004433970635161186,-0.004766383407006095,-0.003965463719165521
1992M09,-0.002787894954571587,-0.0034075235207896306,0.011436566461082626,-0.003944106675545281,0.004352325439986579,-0.003878526220522011,-0.0004587513146818354,-0.004252449951894771,-0.004573558937868099,-0.0008348799638671123
1992M10,-0.002723346699319396,-0.003337579348834063,-0.0002963547173892474,-0.0034661696921605093,0.004359175114920122,-0.0036470851110106408,-0.0004095229918145209,-0.004193409286160309,-0.004464326114706429,-0.0020198465384972217
1992M11,-0.003264221389011993,-0.003845554273455969,-0.021449343515530475,-0.010282479011946042,-0.00538102806228412,-0.0037906926789633786,-0.002717370372598937,-0.004373326382973584,-0.004806169897397678,-0.006656687287129131
1992M12,-0.0036967424627937823,-0.004095517808692723,-0.018776817207752698,-0.01435078151114195,-0.013019671155129652,-0.004151539071875757,-0.004414435095724676,-0.0044526967651301146,-0.00492295078850477,-0.007986794651860682
1993M01,-0.004171905358296178,-0.004163275226425301,-0.0182549444155984,-0.014439514640790675,-0.020327889592512822,-0.004690465509257745,-0.005989848561766748,-0.0042249654057818845,-0.004958247945736474,-0.009024561850685137
1993M02,-0.00378603196462077,-0.004085885834388518,0.00752498294703152,-0.005608484444609841,-0.006990126993656816,-0.004366872404723279,-0.004957182363717065,-0.004243358809879261,-0.004883032901616752,-0.0034884436411311975
