,sup12_buy.csv,sup12_sell.csv,sup3_buy.csv,sup3_sell.csv,sup6_buy.csv,sup6_sell.csv,sup9_buy.csv,sup9_sell.csv,average
1991M01,0.00025941279794433874,0.0017945794524591423,-0.052895900650154384,-0.023607373397346004,-0.00988947513887226,-0.0006440746187593481,-0.0035148795893138927,-7.736806846095692e-05,-0.011071884901562919
1991M02,-0.00299143659624958,-0.003739056052453277,-0.08267728217892138,-0.03148568432713077,-0.02319993810494473,-0.005586464169939328,-0.009970348673878068,-0.005281216845118951,-0.020616428368579513
1991M03,-0.002952625663962616,-0.0037409274980922677,-0.050526603589636926,-0.009951949622142523,-0.021645671978629252,-0.005090326664837824,-0.009556307804464051,-0.005249608800347663,-0.013589252702764142
1991M04,-0.0030712438851899096,-0.0038072506336407656,-0.025912379255409547,-0.010339267648198439,-0.020699126718295466,-0.0051079285969270185,-0.009415064736886698,-0.0053384994395905445,-0.010461345114267299
1991M05,-0.002972078732955248,-0.003784075126477089,0.0015752131737069746,-0.009646147749934598,-0.017196282307052738,-0.005046585374076262,-0.008972684042321563,-0.005367225963598483,-0.006426233265338626
1991M06,-0.00523989043602509,-0.004665023001839172,-0.0069641579774598495,-0.016443610371273364,-0.0158475441336576,-0.005796495048415776,-0.011963860462254793,-0.0061517522957622505,-0.009134041715835987
1991M07,-0.0027797608553163725,-0.004391769217304437,0.0016347342938874312,-0.003836110680576576,-0.007572287303557488,-0.004884835409642478,-0.00819906689309365,-0.005231331979806911,-0.00440755350567631
1991M08,-0.002035064534687959,-0.004205198207522945,0.004735647095458553,-0.0015296405850721449,-0.0011865402692882744,-0.004652797196882281,-0.006573578067680893,-0.004997365309783073,-0.0025555671344323766
1991M09,-0.0007265721321954074,-0.003431272934194332,0.010612276787391005,0.004260018941115351,0.0008609688454822951,-0.0041674061435027325,-0.004705160455775358,-0.004557127594373365,-0.0002317843357565679
1991M10,0.00032398733288347293,-0.0024417860300012875,0.014673006492418183,0.0073150583177787245,0.0026268540180603966,-0.003408269318653369,-0.003966674113682877,-0.003974785629594644,0.001393423883651075
1991M11,-0.0007193124129040154,-0.002906446093264539,-0.0016831914318389003,0.0006497478673150869,-0.0014273271275158077,-0.003798521216429606,-0.0043265735875181515,-0.004236393863844737,-0.002306002233250084
1991M12,-0.0028096986921132055,-0.004330062594768177,-0.01938236535832214,-0.01815750466939131,-0.005998991134101639,-0.004659373626564307,-0.005131318456686223,-0.0048980918701639654,-0.008170925800263872
1992M01,-0.004004790679111006,-0.005103884381180609,-0.027381868052846224,-0.015421430061485797,-0.007975789388243582,-0.004959845241948497,-0.0053210807902465875,-0.0052589078306448855,-0.009428449553213397
1992M02,-0.004318939294936388,-0.005108074655728377,-0.022978224487115197,-0.010542529642064905,-0.008227011692539006,-0.0050487577864805466,-0.005311587960808612,-0.0053043358901998655,-0.008354932676234113
1992M03,-0.004344488429902111,-0.005319484692032328,-0.008716291969888747,-0.011627067308670065,-0.008863178235532185,-0.005167197347743605,-0.00535106096169387,-0.005432536636633112,-0.006852663197762002
