,mva1_12.csv,mva1_3.csv,mva1_6.csv,mva1_9.csv,mva3_12.csv,mva3_6.csv,mva3_9.csv,mva6_12.csv,mva6_9.csv,mva9_12.csv,average
1991M01,-0.004229348984758365,0.000480349159944244,-0.0009534357663340297,-0.0022891981996402016,-0.0038990820467950296,-0.0009756533861361094,-0.0026242581816958476,-0.004655595017805218,-0.0012264102954043347,-0.004474730600970148,-0.0024847363319595037
1991M02,-0.0023995937413418085,-0.0013834572361320942,-0.00276465715758292,-0.0036553486740500745,-0.0042739744791870544,-0.0016712833456502209,-0.0037319741806719226,-0.005041612355670083,-0.00300432697992309,-0.005200147408072177,-0.003312637555828144
1991M03,-0.0031776445382677315,-0.0006208365435408944,-0.0019106748568696369,-0.0033734628626061395,-0.004003066519457933,-0.0014731037971011042,-0.0041011404149740175,-0.004723586720587428,-0.004156979229044782,-0.005111812435710084,-0.003265230791815975
1991M04,-0.003025106677682277,-0.0003926743212434514,-0.002002181952479536,-0.0035582261826450075,-0.0034281675471259593,-0.0018950130328609692,-0.00489864673688325,-0.004638118310229135,-0.004806628917934985,-0.005176243272088585,-0.0033821006951173156
1991M05,-0.0032448279871145325,-0.0003928320646225062,-0.0017042232810765975,-0.0033355768370103723,-0.0035840113730419244,-0.0015960087889840338,-0.004298583776482732,-0.00444623723168811,-0.004460494803601189,-0.005093321626591073,-0.0032156117770213073
1991M06,-0.004724927567233067,0.0007761823184216873,-0.00025391931932154584,-0.0023504772891491037,-0.0034526044848319478,-0.0009146211980124331,-0.003187132535949877,-0.0038863163337820635,-0.0035159667592936355,-0.00462678619435403,-0.002613656936350602
1991M07,-0.00478027812206989,0.0004436816969425588,-7.370210165376693e-05,-0.0022574201148228097,-0.003988766281411947,-0.0004444220048044226,-0.0025364643603595404,-0.0036947933349282492,-0.0035498770222748624,-0.004532538551731129,-0.002541458019711406
1991M08,-0.003340357034876344,-0.0011423527408731876,-0.0016186015066499458,-0.003075229350370301,-0.004775794214954481,-0.0008607850946928644,-0.002687408118208288,-0.004465626090438154,-0.003477776718437557,-0.005041069635703183,-0.0030485000505204307
1991M09,-0.0032094930035382508,-0.001211112130847364,-0.002017069224891755,-0.0032898978290756037,-0.004490632386489404,-0.0013220480592826855,-0.0032458872234255483,-0.004728316366741637,-0.0033928828885099473,-0.005156644051996511,-0.0032063983164798706
1991M10,-0.004804261436695334,0.00017427812471041085,-0.0009823846580029182,-0.002566055002938378,-0.003946041951239175,-0.0013180905190697545,-0.0031002964033047184,-0.004589052956658979,-0.002471336067104579,-0.004793827487696399,-0.002839706835799983
1991M11,-0.005149478728738822,0.00011882893961605881,-0.0009257704530207716,-0.0024987605380235624,-0.004352321497725397,-0.0011911497298383558,-0.0028586058313169543,-0.004715452829238256,-0.0023449899333012653,-0.004737537112863142,-0.0028655237714450468
1991M12,-0.00523592817059348,-0.00020189264835514427,-0.0008508737406359825,-0.0025020459670072387,-0.004954248190506418,-0.0008607815904427298,-0.002443035717382688,-0.004652106382499539,-0.0026931554332838056,-0.004721513757368232,-0.0029115581598075256
