,agriculture,beverages,energy,food,minerals,nonenergy,metals,materials
sup12_1_buy,0.0045214864222063,0.0037973129964598,0.0043068117914883,0.0047596024789788,0.004136873491341,0.0045577433382645,0.0036909797341927,0.006022084269393
sup12_1_sell,0.0060424422769834,0.0090612318786725,0.0076736065223882,0.0066928979846378,0.0054479336785128,0.0082860418872378,0.0066111249720953,0.006733525770391
sup12_2_buy,0.0030881528134227,0.0023799026378546,0.0026229137695214,0.0026068767168295,0.0023389249961925,0.0027335928660953,0.0021258651709132,0.0030373953684138
sup12_2_sell,0.0030358781959,0.0041257285639868,0.0049016211891932,0.0040417329910647,0.0054424451095828,0.0028403795371221,0.002292567382499,0.0045034980890943
sup12_3_buy,0.0025211371059458,0.0017033002745923,0.0020243179370938,0.0037710819836032,0.0022811894394871,0.0017334388925437,0.0014963913531949,0.0019958443771172
sup12_3_sell,0.0015690358942497,0.0024591051068064,0.0020873279671134,0.002621623440188,0.0034845298485789,0.0015518636280667,0.0034129823356694,0.0006370285073782
sup12_4_buy,0.0010232810272462,0.0017872259504719,0.0028658126886559,0.0023019220696106,0.0047880132108786,0.0006715993960828,0.0016556162581924,0.0006123257317549
sup12_4_sell,3.470598733554506e-05,0.0020791666282105,0.0018470804244602,0.001408299788864,0.0033407131255204,0.0015025302767903,0.0027738245978265,0.0003581137409217
sup12_5_buy,0.0006623429362901,0.0015830269491399,0.0018252988811893,0.0012132930847715,0.0021034663818206,0.0005768595474165,0.0013787017109185,0.0037260143382426
sup12_5_sell,3.683595649682682e-05,0.0015756721767566,0.0015709960733691,1.967913987413998e-05,0.0010905928001576,0.0003486902157354,0.0021964073113029,0.0005276989443586
sup1_1_buy,0.020672580735071,0.022119035199182,0.0171887016715927,0.0167397096421011,0.0130570822082289,0.0197938888191923,0.0217532182024655,0.0296651832235526
sup1_1_sell,0.0204942059315933,0.0154832154885023,0.020333599678088,0.0196969868592229,0.0160270717143437,0.0272407868391959,0.0251455178086059,0.0341790114118337
sup1_2_buy,0.0204013382113493,0.0135562561741475,0.0134687795936491,0.0185052328622404,0.0111700060873341,0.0165907574318663,0.0169027064442971,0.016108688982068
sup1_2_sell,0.0223685949899335,0.0164881832671126,0.0160501797213768,0.023404257440673,0.0158293931078822,0.021946425770836,0.0191100790669634,0.0145533294641016
sup1_3_buy,0.0083685475612536,0.0166744027663798,0.0099807633323349,0.0085843300430898,0.0114487102080698,0.0099925189676034,0.0104606739647964,0.0072647850275352
