,non-binary-agriculture,non-binary-beverages,non-binary-energy,non-binary-food,non-binary-metals-minerals,non-binary-non-energy,non-binary-precious-metals,non-binary-raw-materials
sup12_buy,0.0214957531315138,0.0238164698362245,0.0225354092186518,0.0232750164056287,0.0232695781717225,0.0212720382575485,0.0251669276434848,0.0211696571201969
sup12_sell,0.0228364599031101,0.0222916993194787,0.0239313421757798,0.0234733223367429,0.0305602911002599,0.0238735513492487,0.0203105591892832,0.0218994257066999
sup3_buy,0.0402954824398113,0.0287656597651142,0.0267006312879906,0.0283052753804888,0.0232270090460797,0.027218931544373,0.0307993956666123,0.0266036423567968
sup3_sell,0.0305905093983954,0.0251353566161665,0.0270497396549697,0.0275598209338659,0.027642567594154,0.0292576192946651,0.024540411551551,0.0338098199040092
sup6_buy,0.0225742309626307,0.0259497056252447,0.0228137450100836,0.0252619280889199,0.0264398936106225,0.0224311813967105,0.0280876555023056,0.0180734550206329
sup6_sell,0.0212445271224616,0.0193003416603637,0.0247300774882006,0.0204943128503295,0.0232358003719829,0.0294289981377382,0.0193206468450882,0.0262276745464195
sup9_buy,0.0192025088833682,0.0218080180839743,0.0201507695106542,0.022304775907477,0.020680816047226,0.0193439157723317,0.0214107422806131,0.0168182750132655
sup9_sell,0.0206342206774995,0.0226949313216694,0.0204333162677917,0.0235368307448457,0.0239899140745215,0.0191342965617296,0.0196456447232136,0.0188078476955337
flt12_buy,0.0228438538469689,0.0219262558611552,0.0234414430739993,0.0236141847772742,0.0301387088803165,0.0229252867017677,0.0204067437300882,0.0212078395169121
flt12_sell,0.0222854828049104,0.0244681490955166,0.0231611999462782,0.0240222144482782,0.023900924433527,0.0218806722426172,0.0257757249174641,0.021472777383873
flt1_buy,0.0349680384546033,0.0307476130959474,0.039901357815613,0.0397864781324218,0.0293716246671133,0.0443269627932048,0.0272573130523612,0.0607889340697761
flt3_buy,0.0307553824537096,0.0264471203187129,0.0269801967992334,0.0278457535271685,0.0285218421929958,0.0296178938958246,0.0248470251017439,0.0347655467232128
flt3_sell,0.0353713744822445,0.0269183905674328,0.0260391721104381,0.0271713923459508,0.0220324937430963,0.0268070304701898,0.0288217512209727,0.0243995849182484
flt6_buy,0.0212704593582412,0.0189999131689933,0.0257013553979954,0.0210840135222907,0.0250561090768965,0.0309526602577842,0.0194692541557234,0.0262019160765974
flt6_sell,0.0213057174504868,0.0263027062003758,0.0231430884166632,0.0246088619870516,0.0265596007820227,0.0225294022654334,0.0277081809511718,0.0169172190241839
flt9_buy,0.0202737395559182,0.0217372090706358,0.0203625156852863,0.0236783834167309,0.0230131997670982,0.0189402537146103,0.0194754055944396,0.0191295711823581
