,OLS-binary.csv,OLS-non-binary.csv,RF-binary.csv,RF-non-binary.csv,SVM-binary.csv,SVM-non-binary.csv
1991M01,,,,,,
1991M02,,,,,,
1991M03,,,,,,
1991M04,,,,,,
1991M05,,,,,,
1991M06,,,,,,
1991M07,,,,,,
1991M08,,,,,,
1991M09,,,,,,
1991M10,,,,,,
1991M11,,,,,,
1991M12,,,,,,
1992M01,,,,,,
1992M02,,,,,,
1992M03,,,,,,
1992M04,,,,,,
1992M05,,,,,,
1992M06,,,,,,
1992M07,,,,,,
1992M08,,,,,,
1992M09,,,,,,
1992M10,,,,,,
1992M11,,,,,,
1992M12,51.5625,55.729166666666664,52.08333333333333,52.60416666666667,56.25,55.729166666666664
1993M01,51.5625,55.208333333333336,52.604166666666664,52.08333333333334,58.85416666666666,54.68749999999999
1993M02,51.5625,55.20833333333333,53.64583333333333,53.125,59.375,54.16666666666666
1993M03,52.08333333333333,55.208333333333336,53.64583333333333,54.6875,59.89583333333333,54.166666666666664
1993M04,51.5625,54.6875,52.60416666666667,52.60416666666667,57.8125,53.64583333333333
1993M05,50.520833333333336,53.125,52.08333333333333,52.604166666666664,57.291666666666664,53.64583333333333
1993M06,50.52083333333333,53.125,52.60416666666667,52.083333333333336,57.291666666666664,53.64583333333333
1993M07,50.0,52.083333333333336,54.166666666666664,53.125,57.29166666666667,54.166666666666664
1993M08,50.0,52.083333333333336,53.64583333333333,52.604166666666664,57.29166666666667,54.6875
1993M09,49.47916666666667,51.041666666666664,54.166666666666664,53.64583333333333,58.33333333333334,55.729166666666664
1993M10,51.04166666666667,52.604166666666664,54.68749999999999,55.20833333333333,56.770833333333336,56.25
1993M11,51.5625,53.125,54.6875,54.166666666666664,55.208333333333336,55.729166666666664
1993M12,51.041666666666664,52.60416666666667,53.645833333333336,55.20833333333333,55.72916666666667,56.77083333333333
1994M01,51.041666666666664,53.125,53.645833333333336,54.16666666666667,55.20833333333333,55.72916666666667
1994M02,50.52083333333333,52.08333333333333,54.6875,53.64583333333333,54.6875,53.12499999999999
1994M03,50.52083333333333,52.60416666666667,55.729166666666664,54.166666666666664,56.77083333333333,54.166666666666664
1994M04,51.5625,52.60416666666666,57.8125,55.729166666666664,57.29166666666667,54.16666666666666
1994M05,52.604166666666664,52.604166666666664,57.8125,55.729166666666664,55.72916666666667,55.20833333333333
1994M06,54.16666666666667,55.20833333333333,58.85416666666667,55.729166666666664,57.291666666666664,55.72916666666667
1994M07,53.645833333333336,55.20833333333333,56.770833333333336,55.729166666666664,56.77083333333333,55.20833333333333
1994M08,55.20833333333333,56.77083333333333,57.291666666666664,57.8125,57.291666666666664,56.25
1994M09,53.645833333333336,55.729166666666664,56.770833333333336,58.333333333333336,56.25,57.291666666666664
1994M10,52.60416666666667,55.72916666666667,57.29166666666667,58.33333333333333,56.25,57.8125
1994M11,54.16666666666667,57.8125,58.33333333333333,57.8125,57.8125,56.77083333333333
1994M12,54.6875,57.8125,58.33333333333333,57.8125,57.291666666666664,55.729166666666664
1995M01,53.64583333333333,56.25,57.8125,58.854166666666664,55.729166666666664,55.729166666666664
1995M02,53.64583333333333,55.729166666666664,57.291666666666664,58.333333333333336,54.166666666666664,56.25
1995M03,52.08333333333333,54.166666666666664,57.291666666666664,56.25,54.16666666666667,55.729166666666664
1995M04,51.041666666666664,52.60416666666667,58.33333333333333,57.29166666666667,55.20833333333333,55.20833333333333
1995M05,52.604166666666664,54.68749999999999,58.85416666666667,57.8125,54.166666666666664,56.25
1995M06,54.16666666666667,57.29166666666667,60.41666666666667,59.375,54.6875,57.8125
1995M07,54.166666666666664,57.291666666666664,60.416666666666664,58.333333333333336,54.166666666666664,57.29166666666667
1995M08,54.166666666666664,56.77083333333333,60.9375,58.333333333333336,54.166666666666664,57.8125
1995M09,55.20833333333333,57.8125,60.416666666666664,57.8125,55.208333333333336,56.77083333333333
1995M10,54.6875,57.291666666666664,61.45833333333333,57.291666666666664,56.25,56.770833333333336
1995M11,53.645833333333336,56.25,61.45833333333333,58.33333333333333,57.291666666666664,56.25
1995M12,54.166666666666664,56.25,61.458333333333336,56.77083333333333,56.77083333333333,55.20833333333333
1996M01,54.68749999999999,55.72916666666667,62.49999999999999,57.8125,56.25,55.208333333333336
1996M02,54.166666666666664,56.25,61.45833333333334,57.291666666666664,56.25,56.25
1996M03,54.6875,56.77083333333333,60.9375,57.8125,54.68749999999999,54.6875
1996M04,55.208333333333336,57.8125,59.375,56.25,54.6875,53.64583333333333
1996M05,52.604166666666664,55.729166666666664,58.854166666666664,54.166666666666664,55.20833333333333,52.08333333333333
1996M06,51.5625,53.64583333333333,59.375,53.64583333333333,55.20833333333333,53.645833333333336
1996M07,51.041666666666664,52.60416666666666,60.41666666666666,54.166666666666664,53.64583333333333,52.604166666666664
1996M08,50.52083333333333,52.08333333333333,59.89583333333333,53.645833333333336,52.08333333333333,52.083333333333336
1996M09,53.125,54.166666666666664,59.37500000000001,53.125,53.125,52.083333333333336
1996M10,54.16666666666667,54.166666666666664,58.854166666666664,53.125,53.125,51.04166666666667
1996M11,53.125,52.60416666666666,57.291666666666664,52.08333333333333,50.52083333333333,51.041666666666664
1996M12,52.08333333333333,51.5625,57.8125,51.041666666666664,50.52083333333333,50.0
1997M01,53.64583333333333,54.166666666666664,57.8125,51.5625,51.04166666666667,50.0
1997M02,55.20833333333333,55.72916666666667,58.33333333333333,53.64583333333333,52.604166666666664,49.479166666666664
1997M03,55.729166666666664,56.25,57.8125,54.16666666666667,52.08333333333333,50.0
1997M04,57.8125,58.33333333333333,57.81249999999999,53.64583333333333,52.604166666666664,51.5625
