,energy,non-energy,agriculture,beverages,food,raw-materials,metals-minerals,precious-metals
1982M02,,,,,,,,
1982M03,,,,,,,,
1982M04,,,,,,,,
1982M05,,,,,,,,
1982M06,,,,,,,,
1982M07,,,,,,,,
1982M08,,,,,,,,
1982M09,,,,,,,,
1982M10,,,,,,,,
1982M11,0.06316546022389868,-0.13081778033835345,-0.12986988141960198,-0.11369572416850993,-0.16275490756998057,-0.046359120998924475,-0.13165395977900118,0.1161476960256933
1982M12,0.0608335204294721,-0.09271039797135083,-0.09850640951427359,-0.054904993190477036,-0.13677543865876984,-0.022618913725317658,-0.06613209319829627,0.3143090868995664
1983M01,-0.06889004020962952,-0.07079909789760075,-0.09127584111188236,0.02833339411176805,-0.1494526494790036,-0.01882306551939994,-0.0007166054278422429,0.36849780784208397
1983M02,-0.16590589502511266,-0.03728967672925476,-0.07348865180546449,0.06628381657963,-0.11603267676361684,-0.061880537699744664,0.09041427988958306,0.4765704548552918
1983M03,-0.18004576497702685,0.03199661910579055,-0.012540317659724298,0.08281564546155717,-0.043025970962822235,0.0006472658196061687,0.19478962587589788,0.3734151654621862
1983M04,-0.11836540621103175,0.08023330718642319,0.05342136527852892,0.12080563517064835,0.048047205731025056,0.0163106910112214,0.1856926986056333,0.3309811196810286
1983M05,-0.10366025527909128,0.12896010776257816,0.10619356466462238,0.16142705965673443,0.11663272670335845,0.03125842442820925,0.23124053221495044,0.29536564694279077
1983M06,-0.12004298750415732,0.13012504678957537,0.10583608458238558,0.1410924710400039,0.11731368671466846,0.043837942357373816,0.23155770154703514,0.03752010258181038
1983M07,-0.13477526078889035,0.16944310955353403,0.15377236503391956,0.11871680665014761,0.19078969938541057,0.07919039738636346,0.25435430040089235,0.03943637975708336
1983M08,-0.09736036702488304,0.21899089149607143,0.2109154166499425,0.1435483966815534,0.2668152353456037,0.09754772186816707,0.28536623789813387,0.06410236446653972
1983M09,-0.053016027827679224,0.218218319302812,0.2152146376990549,0.11951849124038105,0.28568814989900027,0.0787664087033737,0.2658979890547024,-0.016764328515731286
1983M10,-0.03890956095911857,0.19988031746296464,0.21450502577332786,0.12257437678358851,0.2775373297630881,0.10406624103651119,0.18501447953623407,-0.20510984522752151
1983M11,-0.012680101392989584,0.1567880360300391,0.18812496379285326,0.13944807278206994,0.22294993297575827,0.1262876792416039,0.07844873024859877,-0.3066597874708301
1983M12,0.004974697507432513,0.1397469284181243,0.16930158201770018,0.20855830685954935,0.1771493186339521,0.1120427468369356,0.06609988485390161,-0.09547863784046928
1984M01,-0.02146249067717232,0.11894467069822223,0.15251992139957693,0.2422337156480241,0.1453072428661808,0.09472374906977432,0.01736174950585978,-0.2017091013995591
1984M02,-0.0072954854632807375,0.0766747661155116,0.11160667685499526,0.16199390318578022,0.10586515183481104,0.0839573121157251,-0.0406179152045838,-0.18759670799762374
1984M03,-0.021266453559020793,0.10085104795631317,0.1391118965789504,0.14680493505499026,0.15125798427504655,0.09558776173909722,-0.02856572546589975,-0.08750666977138177
1984M04,-0.024842527610795972,0.08414318212139005,0.12927290170072148,0.1753279213616512,0.1253683870526494,0.09990344879377933,-0.07377115640299214,-0.11389763070556702
1984M05,-0.0399436916746585,0.02861624107063765,0.07083302899849109,0.18242837680709556,0.03732796702422103,0.07886841591317806,-0.14545403595035644,-0.15255031484485126
1984M06,-0.03822898724792578,-0.022035297990003144,0.007393699930497988,0.1520968654159347,-0.04246487331634796,0.04055724586758469,-0.15708863340424495,-0.14781059750146808
1984M07,-0.05890118782364473,-0.08792348557028262,-0.07310478254748798,0.06982645098737894,-0.12797208149258932,-0.030569723114953096,-0.1810618625608056,-0.1639188111215799
1984M08,-0.032360090178343626,-0.08760715613104075,-0.0772419454532951,0.040505290012587736,-0.11842893993084758,-0.05976892975725878,-0.16708274663576228,-0.107600243022544
1984M09,-0.017697516659525014,-0.10663934863781233,-0.0827626256921068,-0.011342740161159881,-0.10605966584375182,-0.08008370866575776,-0.2439588983518668,-0.15775912587625607
1984M10,-0.047607187805504214,-0.13884682352532485,-0.12840752830392077,-0.08724585509474903,-0.14833371709839005,-0.10743277290631958,-0.2314027762539883,-0.09507712344080099
1984M11,-0.06033507025300855,-0.1290315998198075,-0.1342200161631859,-0.057836981258171605,-0.16688070157204526,-0.10917523080398528,-0.15235272563338453,-0.14081778583473614
1984M12,-0.0856480478048689,-0.1771831613882071,-0.18600640855815076,-0.10164728100673148,-0.22327969947477522,-0.15492254755486856,-0.18400865488350426,-0.2516322535184923
1985M01,-0.08592378370394105,-0.18065655275833725,-0.19930218537822864,-0.1330582249828547,-0.21713665640914392,-0.20891980558347267,-0.1582259302663429,-0.27823995901061327
1985M02,-0.04191857676902622,-0.19254595656631013,-0.22856636204166048,-0.16343203752506952,-0.24723986462233816,-0.23366645723546497,-0.0929795118176453,-0.2736006698253157
1985M03,-0.032754945245617506,-0.15124595226685145,-0.1697515604211044,-0.13462751029774012,-0.17077016673302792,-0.20075279134425683,-0.07198015162635807,-0.23579384936272074
1985M04,-0.0006961067564636991,-0.07022288970839075,-0.08677772852866417,-0.08999898424601316,-0.0661967080597945,-0.14667109054656624,0.018164126692596927,-0.08403714852971333
1985M05,-0.04744695327845072,-0.07826376388734424,-0.10451983490612538,-0.11742631975314222,-0.09122058605764005,-0.13210454352632217,0.0322756354837046,-0.12061074934458071
1985M06,-0.056270080173087766,-0.09410206964304768,-0.12409359160463262,-0.135158075942984,-0.11829675723859356,-0.13063320835345937,0.04354697727872425,-0.09500648974322123
1985M07,-0.03894584176760851,-0.10126369441358118,-0.13009587133623546,-0.12129173198497512,-0.1400199429764264,-0.10945363211693993,0.03439045170653365,-0.10232313561542039
1985M08,-0.021412221130655773,-0.1157444956367839,-0.12863643489310572,-0.11988596080655078,-0.13312501032435486,-0.12419871311289166,-0.04576858363817404,-0.07170749857940883
1985M09,-0.002022733560652412,-0.10930187447030448,-0.11656143439105016,-0.09329068767942772,-0.12131168141241977,-0.125950541302859,-0.05200339926774067,-0.010705636018565556
1985M10,0.018093558145857447,-0.11097414387118398,-0.11488651981152698,-0.053549585583533954,-0.1462724453503781,-0.08509861790418327,-0.06329963183139187,0.06218449691771166
1985M11,0.011845959763111757,-0.0943723060226489,-0.08320054551150768,0.007829177217735683,-0.12863549339408742,-0.04200924254703731,-0.10615041916537216,0.061154332971485204
1985M12,-0.07945152808872846,-0.04827960450892688,-0.04557503531322382,0.16074966993076512,-0.1336532387128595,-0.005905591387810105,-0.06120523122489807,0.02107271124099741
1986M01,-0.07993998342799635,-0.0327134763624195,-0.023519240801019414,0.2552567884030825,-0.14117385304399255,0.012278053093579988,-0.06200040193703815,0.03854990648240619
