,energy,non-energy,agriculture,beverages,food,raw-materials,metals-minerals,precious-metals
1982M02,,,,,,,,
1982M03,,,,,,,,
1982M04,,,,,,,,
1982M05,,,,,,,,
1982M06,,,,,,,,
1982M07,,,,,,,,
1982M08,,,,,,,,
1982M09,,,,,,,,
1982M10,,,,,,,,
1982M11,0.01328652146703524,-0.029087343520729725,-0.03157415978557232,-0.015546854890417627,-0.0431181255919757,-0.01131732272285868,-0.019578455125343286,0.03684028983160381
1982M12,-0.005202742702405949,-0.02379917989202518,-0.02888250420778693,-0.0010406081060150285,-0.04316384427467845,-0.010720963614944345,-0.005362465574739961,0.06558590487631122
1983M01,-0.01162005955755685,-0.016632847481365065,-0.021964948492258607,0.012190274790830458,-0.03605185269485567,-0.010105871787540632,0.0016295312505585358,0.09044328508894495
1983M02,-0.011710966112869148,-0.0049487026933943135,-0.009912173384521772,0.022839733095135095,-0.02104600032983539,-0.005637749141316206,0.01175078617341807,0.1003325060482414
1983M03,-0.02093676188347482,0.0031603461597162763,-0.0007711618613330806,0.020985037163098852,-0.006002485221789033,-0.004037217034208229,0.01624236054452144,0.0678191693961736
1983M04,-0.03427320348600871,0.015415010672093832,0.01216315110385846,0.015765646060878602,0.014527107024916663,0.002571336014280501,0.027985501826932158,0.047396014679153886
1983M05,-0.04534824366716572,0.02412733887587093,0.019289938159875675,0.016515681874908594,0.024086848627829394,0.007976737687857227,0.043342709686809755,0.036460358723707564
1983M06,-0.04024086852632447,0.029896120343649635,0.023578336786075127,0.022563672425609305,0.028355750227261556,0.010744541667460528,0.054406299421733806,0.029221469369207664
1983M07,-0.02706318125889151,0.03208018893360043,0.025424380719401896,0.024595395420320187,0.030652543418563383,0.01094691277551263,0.05899048324677558,0.0031259751924017642
1983M08,-0.008675645328642734,0.03513894729658951,0.032120115350299905,0.022649287247086036,0.04056800422393181,0.015053446701523754,0.051834583223017816,-0.03166464196963181
1983M09,0.005843445177046824,0.03664471258646085,0.03752734695055082,0.023444041073225286,0.048078378418653145,0.01731490443144823,0.04195692646926252,-0.026441584551274655
1983M10,0.009307409844331538,0.033596758618689826,0.037042709641148974,0.02643665747547619,0.0458175579554565,0.0188520329243671,0.029194979630344786,-0.02190892712422121
1983M11,0.007120043094072326,0.028241919948237992,0.03342661592630147,0.02564211611755418,0.04042283773648858,0.018194468069832936,0.015487024858260146,-0.020816567023569377
1983M12,-0.0016315161473485773,0.025983429198852548,0.03271369756256881,0.02147086702258605,0.04023525947118145,0.01874060663014232,0.006762662685055432,-0.029180918041328496
1984M01,-0.005859130792900125,0.025614410518526753,0.03424334183937372,0.023514691277303434,0.041985378763189196,0.0191567349123698,-0.0018803354562195729,-0.034155754380006176
1984M02,-0.01170691210003838,0.0168556766289516,0.024625706873122155,0.026936905448709858,0.0265333231464302,0.016558211231577413,-0.009695491506474418,-0.03547621867670392
1984M03,-0.012406365693264476,0.00697478231776083,0.013221103960524339,0.03621693968674844,0.005618320742750704,0.016408964049143826,-0.01741921735432861,-0.041821624754791564
1984M04,-0.009844138402689051,-0.00018166395576946215,0.004161591867556602,0.04032421660704877,-0.009409056827122342,0.013685111973208208,-0.01848918694690349,-0.03579352596832397
1984M05,-0.0030240725610566344,0.0028060922035395564,0.007104770289209306,0.04084974554899201,-0.004455749299569156,0.012116839938609125,-0.015390619762889468,-0.018848777171366127
1984M06,0.002668820661135385,0.004175736758964987,0.008944098772702525,0.02944125190686986,0.0034707425853328644,0.006950126309579474,-0.01634973714565957,-0.006875493334336458
1984M07,0.002136933999389079,-0.0013380342538624745,0.0030985313281615134,0.010634759401956018,0.0009384968877563793,0.0027386454080202682,-0.0226484142828407,-0.000692231495761586
1984M08,-0.002084096006300662,-0.00705023142177108,-0.0024737674519741404,0.0010077247983524273,-0.003982662884676635,-0.0011207817458296354,-0.031079857550310397,-0.009391742295940642
1984M09,-0.007906831964882954,-0.01673133131451321,-0.012131811823346439,-0.005436585268213001,-0.015412126286490135,-0.008466595528851872,-0.04221824972965038,-0.022797670894963762
1984M10,-0.013095690842549246,-0.025921734776252148,-0.02236519196566089,-0.011006009524150429,-0.026556971080269776,-0.020439975091557816,-0.050471385694708104,-0.037051427043915286
1984M11,-0.016445292066055828,-0.039337840323866224,-0.04047141221014261,-0.02357930120244145,-0.048079237547897336,-0.03376395919264574,-0.046905502276110234,-0.04202347271491602
1984M12,-0.017927945605948903,-0.045110138710816816,-0.049396316230691184,-0.02842115378631771,-0.059633160608072444,-0.039134559350972875,-0.041332915345486665,-0.04712922206504233
1985M01,-0.013023349694671893,-0.03834694278930506,-0.04333637368522769,-0.023191498316171177,-0.05193670749241708,-0.037295256834880774,-0.02839213404722729,-0.041597159084826085
1985M02,-0.007504232495268326,-0.0275159216804588,-0.03139073238308221,-0.017545225953420562,-0.03548044138678064,-0.03273880399148332,-0.018505811313791032,-0.03913046888720739
1985M03,-0.004866990665551185,-0.018661194212774124,-0.023728187237118892,-0.01833576042219054,-0.023015562800527967,-0.031192816876894458,-0.00011900801193354127,-0.030284915072917418
1985M04,-0.004125583553201917,-0.014807232039082407,-0.021332177922917417,-0.020785722266196238,-0.018949631147067603,-0.029120712084673706,0.01285344587848547,-0.031703224486468784
1985M05,-0.004518471089847154,-0.013194381548657041,-0.019087803822241067,-0.023329781705156094,-0.014482220126630807,-0.028988619759976242,0.013340730060892092,-0.036236312354450906
1985M06,-0.0010748426789080057,-0.010222259538491762,-0.013619769523000702,-0.02155641051330015,-0.006835189982888679,-0.026625855136620302,0.00895516123233664,-0.02987174287850447
1985M07,0.000737214267431785,-0.00991302425131968,-0.011643542786982763,-0.021301547312285507,-0.005377640832191055,-0.021290136436971085,0.0043017483721468075,-0.012981251133638683
1985M08,-0.0034685599571626646,-0.010853402797905254,-0.01225205888749148,-0.019066283890188274,-0.009586497884227718,-0.013648739438772317,0.0039941243829551,0.009047101159035176
1985M09,-0.009143132849004143,-0.016604477618538116,-0.019276452309068492,-0.017638534544042628,-0.023199927872324277,-0.009053683851062644,-0.001932609660626028,0.01515501341647596
1985M10,-0.012803461678809747,-0.024975182373165428,-0.027896853486779172,-0.015221057930955517,-0.03786448132442555,-0.010778270862417116,-0.01407531433839404,0.006867775512372276
1985M11,-0.0033774463759228546,-0.028800316306254015,-0.02974467098709077,-0.007875607905339699,-0.042866525977574454,-0.013003593263775759,-0.02679403272632319,0.002222669984746073
1985M12,0.0005866717416749267,-0.024161032725069642,-0.023089602118742114,0.008681603815504424,-0.038001666086765695,-0.01246555139415051,-0.02748769302662213,0.001028506009666863
