,energy,non-energy,agriculture,beverages,food,raw-materials,metals-minerals,precious-metals
1982M02,,,,,,,,
1982M03,,,,,,,,
1982M04,,,,,,,,
1982M05,,,,,,,,
1982M06,,,,,,,,
1982M07,,,,,,,,
1982M08,,,,,,,,
1982M09,,,,,,,,
1982M10,,,,,,,,
1982M11,,,,,,,,
1982M12,,,,,,,,
1983M01,,,,,,,,
1983M02,0,0,0,1,0,0,1,1
1983M03,0,0,0,1,1,0,1,1
1983M04,0,1,1,1,1,0,1,1
1983M05,0,1,1,1,1,0,1,1
1983M06,0,1,1,1,1,0,1,1
1983M07,0,1,1,1,1,0,1,1
1983M08,0,1,1,1,1,1,1,1
1983M09,0,1,1,1,1,1,1,0
1983M10,0,1,1,1,1,1,1,0
1983M11,0,1,1,1,1,1,1,0
1983M12,0,1,1,1,1,1,1,0
1984M01,0,1,1,1,1,1,1,0
1984M02,0,1,1,1,1,1,0,0
1984M03,0,1,1,1,1,1,0,0
1984M04,0,1,1,1,1,1,0,0
1984M05,0,1,1,1,1,1,0,0
1984M06,0,0,1,1,1,0,0,0
1984M07,0,0,0,1,0,0,0,0
1984M08,0,0,0,1,0,0,0,0
1984M09,0,0,0,1,0,0,0,0
1984M10,0,0,0,0,0,0,0,0
1984M11,0,0,0,0,0,0,0,0
1984M12,0,0,0,0,0,0,0,0
1985M01,0,0,0,0,0,0,0,0
1985M02,0,0,0,0,0,0,0,0
1985M03,0,0,0,0,0,0,0,0
1985M04,0,0,0,0,0,0,0,0
1985M05,0,0,0,0,0,0,0,0
1985M06,0,0,0,0,0,0,0,0
1985M07,0,0,0,0,0,0,0,0
1985M08,0,0,0,0,0,0,0,0
1985M09,0,0,0,0,0,0,0,0
1985M10,0,0,0,0,0,0,0,0
1985M11,0,0,0,0,0,0,0,0
1985M12,0,0,0,1,0,0,0,0
1986M01,0,0,1,1,0,0,0,1
1986M02,0,0,0,1,0,1,0,1
1986M03,0,0,0,1,0,0,1,0
1986M04,0,0,0,1,0,0,0,0
1986M05,0,0,0,1,0,0,0,0
1986M06,0,0,0,0,0,0,1,0
1986M07,0,0,0,0,0,0,0,0
1986M08,1,0,0,1,0,0,0,1
1986M09,1,0,0,1,0,0,1,1
1986M10,1,0,0,1,0,0,0,1
1986M11,1,0,0,0,0,0,0,1
1986M12,1,0,0,0,0,1,0,1
1987M01,1,0,0,0,0,1,0,1
1987M02,1,0,0,0,0,1,0,1
1987M03,1,0,0,0,0,1,1,1
1987M04,1,0,0,0,1,1,1,1
1987M05,1,1,0,0,1,1,1,1
1987M06,1,1,0,0,1,1,1,1
1987M07,1,1,0,0,1,1,1,1
1987M08,1,1,0,0,0,1,1,1
1987M09,1,1,1,0,1,1,1,1
1987M10,1,1,1,0,1,1,1,1
1987M11,1,1,1,0,1,1,1,1
1987M12,0,1,1,0,1,1,1,1
1988M01,0,1,1,0,1,1,1,1
1988M02,0,1,1,0,1,0,1,1
1988M03,0,1,1,0,1,0,1,0
1988M04,0,1,1,0,1,0,1,0
1988M05,0,1,1,0,1,0,1,0
1988M06,0,1,1,0,1,0,1,0
1988M07,0,1,1,0,1,0,1,0
1988M08,0,1,1,0,1,0,1,0
1988M09,0,1,1,0,1,0,1,0
1988M10,0,1,1,0,1,0,1,0
1988M11,0,1,0,0,1,0,1,0
1988M12,1,1,0,1,1,0,1,0
1989M01,1,1,0,1,1,0,1,0
1989M02,1,1,0,0,1,0,1,0
1989M03,1,0,1,0,1,0,0,0
1989M04,1,0,0,0,1,1,0,0
1989M05,1,0,0,0,1,1,0,0
1989M06,1,0,0,0,0,1,0,0
1989M07,1,0,0,0,0,1,0,0
1989M08,1,0,0,0,0,1,0,0
1989M09,1,0,0,0,0,1,0,0
1989M10,1,0,0,0,0,1,0,0
1989M11,1,0,0,0,0,1,0,0
1989M12,1,0,0,0,0,1,0,1
1990M01,1,0,0,0,0,1,0,1
1990M02,1,0,0,0,0,1,0,1
1990M03,0,0,0,1,0,1,1,0
1990M04,0,0,0,1,0,1,0,0
1990M05,0,0,0,1,0,0,1,0
1990M06,0,0,0,1,0,0,0,0
1990M07,0,0,0,1,0,0,1,0
1990M08,1,0,0,1,0,0,1,1
1990M09,1,0,0,1,0,0,1,0
1990M10,1,0,0,1,0,0,1,0
1990M11,1,0,0,1,0,0,0,0
1990M12,1,0,0,1,0,0,0,0
1991M01,1,0,0,0,0,0,0,0
1991M02,1,0,0,0,0,0,0,0
1991M03,1,0,0,0,0,0,0,0
1991M04,1,0,0,0,0,0,0,0
1991M05,1,0,0,0,0,0,0,0
1991M06,1,0,0,0,0,0,0,0
1991M07,0,0,0,0,0,0,0,0
1991M08,0,0,0,0,0,0,0,0
1991M09,1,0,0,0,0,0,0,0
1991M10,1,0,0,0,0,0,0,0
1991M11,1,0,0,0,0,0,0,0
1991M12,0,0,0,0,0,0,0,0
1992M01,0,0,0,0,0,0,0,0
1992M02,0,0,0,0,0,0,0,0
1992M03,0,0,0,0,0,0,0,0
1992M04,0,0,0,0,0,0,0,0
1992M05,1,0,0,0,0,0,0,0
1992M06,1,0,0,0,0,0,0,0
1992M07,1,0,0,0,0,0,1,0
1992M08,1,0,0,0,0,0,1,0
1992M09,1,0,0,0,0,0,0,0
1992M10,1,0,0,0,0,0,0,0
1992M11,1,0,0,1,0,0,0,0
1992M12,0,0,0,1,0,0,0,0
1993M01,0,0,0,1,0,0,0,0
1993M02,0,0,0,1,0,0,0,0
1993M03,0,0,0,0,0,0,0,0
1993M04,0,0,0,0,0,1,0,0
1993M05,0,0,1,0,0,1,0,1
1993M06,0,0,0,0,0,1,0,1
1993M07,0,0,1,1,0,1,0,1
1993M08,0,0,1,1,0,1,0,1
1993M09,0,0,1,1,0,1,0,0
1993M10,0,0,1,1,0,1,0,1
1993M11,0,0,1,1,1,1,0,1
1993M12,0,0,1,1,1,1,0,1
1994M01,0,0,1,1,1,1,0,1
1994M02,0,0,1,1,1,1,1,1
1994M03,0,0,1,1,1,1,1,1
1994M04,0,0,0,1,1,0,1,1
1994M05,1,1,1,1,1,1,1,1
1994M06,1,1,1,1,0,1,1,1
1994M07,1,1,1,1,0,1,1,1
1994M08,1,1,1,1,0,1,1,0
1994M09,0,1,1,1,1,1,1,1
1994M10,0,1,1,1,0,0,1,0
1994M11,1,1,1,1,0,0,1,0
1994M12,0,1,0,1,1,0,1,0
1995M01,1,1,0,1,0,0,1,0
1995M02,1,1,1,1,1,0,1,0
1995M03,1,1,1,1,0,0,1,0
1995M04,1,1,0,1,0,0,1,0
1995M05,1,1,0,1,0,0,1,0
1995M06,1,0,0,0,1,0,1,0
1995M07,0,0,0,0,1,0,1,0
